policy,n,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,raw_fit_pass,e_total_mj,e_sleep_mj,e_idle_mj,ee_kbit_j,e_per_pkt_uj
ppo,400,7,0.403438,33.0496,5057.870074,14887.298708,0.596562,0.815597,0.395067,0.395067,1.0,410.701056,53.542976,221.606176,24.141355,42416.8403
ppo,400,99,0.384479,31.496533,4839.637106,12935.423298,0.615521,0.802647,0.400096,0.400096,1.0,413.705464,53.434068,226.126898,22.839824,44833.970663
ppo,600,42,0.226111,27.784533,5402.061974,14107.622117,0.773889,0.700937,0.45826,0.458156,1.0,480.628165,51.511429,304.10525,11.561758,88567.843584
ppo,600,7,0.278472,34.218667,5497.291891,15976.467788,0.721528,0.766341,0.411373,0.411177,1.0,467.908697,51.880042,289.131131,14.626215,70011.276413
ppo,600,99,0.25,30.72,7871.762919,27183.34251,0.75,0.826245,0.258875,0.258875,1.0,405.992756,53.296807,233.3016,15.133275,67665.459398
ppo,800,42,0.162135,26.564267,6877.22541,19868.503318,0.837865,0.635644,0.462047,0.461858,1.0,516.724813,50.469715,346.366508,7.711339,132791.471495
ppo,800,7,0.089271,14.626133,16461.643819,52960.874223,0.910729,0.720384,0.366307,0.366307,1.0,451.196599,51.946836,288.303273,4.862448,210593.511997
ppo,800,99,0.122656,20.096,10547.838525,32177.350578,0.877344,0.757571,0.334188,0.334188,1.0,476.121348,51.346369,312.118372,6.331159,161739.735883
ppo,1000,42,0.129458,26.513067,10463.977262,32802.614344,0.870542,0.750949,0.346623,0.346623,1.0,585.235688,48.565603,423.263085,5.436388,188360.376067
ppo,1000,7,0.159375,32.64,8589.568843,25264.34964,0.840625,0.707511,0.369484,0.369484,1.0,541.572918,49.750299,375.544562,7.232267,141587.690906
ppo,1000,99,0.113292,23.202133,11006.354216,30955.376789,0.886708,0.723878,0.383379,0.383379,1.0,534.329207,49.861484,371.482124,5.21075,196516.810105
